ID,Genero,sp,Local,Tratamento,LTh,TiL,TarL,FL,AL,FL,HL_M,ED,HW,HL_Rostro,Larg_Boca,Timpano,Disco_Ades_M,Disco_Ades_P,CRC,Massa (gramas)
2644,Physalaemus,Physalaemus_biligonigerus,F,undisturbed,13.64,12.03,7.90,13.78,3.48,5.56,8.91,2.18,1.60,9.82,9.87,1.44,NA,NA,31.35,3.00
2645,Physalaemus,Physalaemus_biligonigerus,A,disturbed,9.50,10.55,6.32,12.73,3.45,4.10,6.60,1.43,1.25,9.12,10.25,9.72,1.99,NA,27.38,1.35
2646,Physalaemus,Physalaemus_biligonigerus,A,disturbed,8.15,9.97,6.22,11.05,3.44,3.76,5.44,1.37,1.48,8.57,9.13,NA,NA,NA,27.32,1.45
2647,Physalaemus,Physalaemus_biligonigerus,A,disturbed,6.28,7.53,3.89,8.53,2.20,3.25,4.98,1.34,0.94,6.57,6.35,0.91,NA,NA,16.88,0.50
2648,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,7.41,7.88,4.55,4.53,2.42,3.23,4.28,1.25,0.71,5.84,5.46,NA,NA,NA,16.52,0.55
2649,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,5.91,5.42,3.13,6.73,3.36,1.58,3.20,1.39,1.28,5.59,4.87,NA,NA,NA,12.97,0.10
2650,Pseudopaludicola,Pseudopaludicola_falcipes,A,disturbed,4.21,4.92,3.62,5.89,1.43,1.58,2.92,0.68,1.09,4.27,4.10,NA,NA,NA,10.99,0.1
2651,Dendropsophus,Dendropsophus_minutus,B,disturbed,6.58,7.38,4.97,6.12,2.35,2.38,4.51,1.57,0.91,5.25,4.49,NA,0.50,0.40,15.57,0.15
2652,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.12,10.24,5.65,9.65,3.55,4.01,5.82,1.13,1.11,6.08,6.48,NA,0.68,0.90,21.79,0.60
2653,Dendropsophus,Dendropsophus_minutus,E,undisturbed,8.55,11.27,6.94,8.96,3.21,4.48,5.83,1.31,1.18,6.40,6.61,0.99,NA,NA,20.37,0.35
